atm_id,atm_name,latitude,longitude,city,region,type,active,source_type
ATM-031,Chennai ATM 031,12.997107,80.164185,Chennai,Tamil Nadu,ATM,true,SYNTHETIC
ATM-032,Bengaluru ATM 032,12.940898,77.590579,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-033,Hyderabad POS 033,17.409623,78.574603,Hyderabad,Telangana,POS,true,SYNTHETIC
ATM-034,Coimbatore ATM 034,10.923868,77.004112,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-035,Pune ATM 035,18.616071,73.807915,Pune,Maharashtra,ATM,true,SYNTHETIC
ATM-036,Vijayawada ATM 036,16.551649,80.577517,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-037,Chennai POS 037,13.08717,80.341516,Chennai,Tamil Nadu,POS,true,SYNTHETIC
ATM-038,Bengaluru ATM 038,12.88813,77.70364,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-039,Hyderabad ATM 039,17.398816,78.578246,Hyderabad,Telangana,ATM,true,SYNTHETIC
ATM-040,Coimbatore ATM 040,11.002278,76.97306,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-041,Pune POS 041,18.484532,73.877873,Pune,Maharashtra,POS,true,SYNTHETIC
ATM-042,Vijayawada ATM 042,16.467251,80.698471,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-043,Chennai ATM 043,13.037646,80.259648,Chennai,Tamil Nadu,ATM,true,SYNTHETIC
ATM-044,Bengaluru ATM 044,13.047088,77.637514,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-045,Hyderabad POS 045,17.493683,78.572544,Hyderabad,Telangana,POS,true,SYNTHETIC
ATM-046,Coimbatore ATM 046,11.001816,76.965747,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-047,Pune ATM 047,18.475504,73.768893,Pune,Maharashtra,ATM,true,SYNTHETIC
ATM-048,Vijayawada ATM 048,16.549479,80.606927,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-049,Chennai POS 049,13.145607,80.359751,Chennai,Tamil Nadu,POS,true,SYNTHETIC
ATM-050,Bengaluru ATM 050,12.882201,77.589186,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-051,Hyderabad ATM 051,17.455829,78.405295,Hyderabad,Telangana,ATM,true,SYNTHETIC
ATM-052,Coimbatore ATM 052,11.120804,76.885047,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-053,Pune POS 053,18.566475,73.900632,Pune,Maharashtra,POS,true,SYNTHETIC
ATM-054,Vijayawada ATM 054,16.4453,80.62883,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-055,Chennai ATM 055,13.008656,80.304727,Chennai,Tamil Nadu,ATM,true,SYNTHETIC
ATM-056,Bengaluru ATM 056,12.935505,77.53013,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-057,Hyderabad POS 057,17.413359,78.571813,Hyderabad,Telangana,POS,true,SYNTHETIC
ATM-058,Coimbatore ATM 058,10.978603,77.020134,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-059,Pune ATM 059,18.496848,73.775606,Pune,Maharashtra,ATM,true,SYNTHETIC
ATM-060,Vijayawada ATM 060,16.586214,80.619336,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-061,Chennai POS 061,12.974796,80.322933,Chennai,Tamil Nadu,POS,true,SYNTHETIC
ATM-062,Bengaluru ATM 062,13.001358,77.677303,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-063,Hyderabad ATM 063,17.474796,78.422678,Hyderabad,Telangana,ATM,true,SYNTHETIC
ATM-064,Coimbatore ATM 064,11.039665,76.953433,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-065,Pune POS 065,18.450885,73.757144,Pune,Maharashtra,POS,true,SYNTHETIC
ATM-066,Vijayawada ATM 066,16.551421,80.693841,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-067,Chennai ATM 067,13.036828,80.221307,Chennai,Tamil Nadu,ATM,true,SYNTHETIC
ATM-068,Bengaluru ATM 068,12.935652,77.491003,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-069,Hyderabad POS 069,17.323597,78.595274,Hyderabad,Telangana,POS,true,SYNTHETIC
ATM-070,Coimbatore ATM 070,11.032717,77.063284,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-071,Pune ATM 071,18.446451,73.784283,Pune,Maharashtra,ATM,true,SYNTHETIC
ATM-072,Vijayawada ATM 072,16.519612,80.602351,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-073,Chennai POS 073,13.059524,80.25627,Chennai,Tamil Nadu,POS,true,SYNTHETIC
ATM-074,Bengaluru ATM 074,12.953638,77.63555,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-075,Hyderabad ATM 075,17.362673,78.450647,Hyderabad,Telangana,ATM,true,SYNTHETIC
ATM-076,Coimbatore ATM 076,11.103841,76.91781,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-077,Pune POS 077,18.519358,73.881091,Pune,Maharashtra,POS,true,SYNTHETIC
ATM-078,Vijayawada ATM 078,16.5164,80.667646,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-079,Chennai ATM 079,13.02449,80.23228,Chennai,Tamil Nadu,ATM,true,SYNTHETIC
ATM-080,Bengaluru ATM 080,12.927332,77.555124,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-081,Hyderabad POS 081,17.422245,78.425296,Hyderabad,Telangana,POS,true,SYNTHETIC
ATM-082,Coimbatore ATM 082,10.944047,76.998697,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-083,Pune ATM 083,18.479529,73.774181,Pune,Maharashtra,ATM,true,SYNTHETIC
ATM-084,Vijayawada ATM 084,16.465235,80.547331,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-085,Chennai POS 085,13.099758,80.206391,Chennai,Tamil Nadu,POS,true,SYNTHETIC
ATM-086,Bengaluru ATM 086,12.967538,77.568185,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-087,Hyderabad ATM 087,17.431651,78.577478,Hyderabad,Telangana,ATM,true,SYNTHETIC
ATM-088,Coimbatore ATM 088,11.085374,76.94246,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-089,Pune POS 089,18.444311,73.937579,Pune,Maharashtra,POS,true,SYNTHETIC
ATM-090,Vijayawada ATM 090,16.511849,80.722883,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-091,Chennai ATM 091,13.169491,80.259723,Chennai,Tamil Nadu,ATM,true,SYNTHETIC
ATM-092,Bengaluru ATM 092,12.893851,77.620724,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-093,Hyderabad POS 093,17.45267,78.42255,Hyderabad,Telangana,POS,true,SYNTHETIC
ATM-094,Coimbatore ATM 094,10.992522,76.965846,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-095,Pune ATM 095,18.626988,73.85494,Pune,Maharashtra,ATM,true,SYNTHETIC
ATM-096,Vijayawada ATM 096,16.585286,80.723502,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-097,Chennai POS 097,13.136297,80.17248,Chennai,Tamil Nadu,POS,true,SYNTHETIC
ATM-098,Bengaluru ATM 098,12.876855,77.521846,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-099,Hyderabad ATM 099,17.386439,78.525565,Hyderabad,Telangana,ATM,true,SYNTHETIC
ATM-100,Coimbatore ATM 100,11.074176,77.06392,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-101,Pune POS 101,18.589915,73.885655,Pune,Maharashtra,POS,true,SYNTHETIC
ATM-102,Vijayawada ATM 102,16.580335,80.725652,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-103,Chennai ATM 103,13.104566,80.237938,Chennai,Tamil Nadu,ATM,true,SYNTHETIC
ATM-104,Bengaluru ATM 104,12.959919,77.677844,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-105,Hyderabad POS 105,17.424818,78.453535,Hyderabad,Telangana,POS,true,SYNTHETIC
ATM-106,Coimbatore ATM 106,11.113057,76.983507,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-107,Pune ATM 107,18.482853,73.932527,Pune,Maharashtra,ATM,true,SYNTHETIC
ATM-108,Vijayawada ATM 108,16.429551,80.618465,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-109,Chennai POS 109,12.977093,80.179511,Chennai,Tamil Nadu,POS,true,SYNTHETIC
ATM-110,Bengaluru ATM 110,13.004084,77.6444,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-111,Hyderabad ATM 111,17.485307,78.570182,Hyderabad,Telangana,ATM,true,SYNTHETIC
ATM-112,Coimbatore ATM 112,11.009374,77.001445,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-113,Pune POS 113,18.442334,73.806782,Pune,Maharashtra,POS,true,SYNTHETIC
ATM-114,Vijayawada ATM 114,16.42681,80.548489,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-115,Chennai ATM 115,13.036717,80.257717,Chennai,Tamil Nadu,ATM,true,SYNTHETIC
ATM-116,Bengaluru ATM 116,12.986728,77.642202,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-117,Hyderabad POS 117,17.449586,78.549354,Hyderabad,Telangana,POS,true,SYNTHETIC
ATM-118,Coimbatore ATM 118,10.949904,76.992399,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-119,Pune ATM 119,18.524317,73.84428,Pune,Maharashtra,ATM,true,SYNTHETIC
ATM-120,Vijayawada ATM 120,16.499386,80.638993,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
