transaction_id,case_id,source_account,destination_account,amount,timestamp,transaction_type,fraud_label,location,risk,source_type
TXN-0000016,CASE-00002,ACC-00042,ACC-00049,1535,2025-12-31T19:39:00.000Z,UPI,0,Bengaluru,LOW,SYNTHETIC
TXN-0000017,CASE-00002,ACC-00043,ACC-00050,16407,2025-12-31T05:36:00.000Z,TRANSFER,0,Bengaluru,LOW,SYNTHETIC
TXN-0000018,CASE-00003,ACC-00052,ACC-00061,2810,2025-12-31T22:00:00.000Z,TRANSFER,0,Hyderabad,LOW,SYNTHETIC
TXN-0000019,CASE-00003,ACC-00053,ACC-00062,14811,2025-12-31T18:57:00.000Z,NEFT,0,Hyderabad,LOW,SYNTHETIC
TXN-0000020,CASE-00003,ACC-00054,ACC-00063,18756,2025-12-31T16:54:00.000Z,TRANSFER,0,Hyderabad,LOW,SYNTHETIC
TXN-0000021,CASE-00003,ACC-00055,ACC-00064,20730,2025-12-31T23:51:00.000Z,TRANSFER,0,Hyderabad,LOW,SYNTHETIC
TXN-0000022,CASE-00003,ACC-00056,ACC-00065,4695,2025-12-31T09:48:00.000Z,IMPS,0,Hyderabad,LOW,SYNTHETIC
TXN-0000023,CASE-00003,ACC-00057,ACC-00066,11066,2025-12-31T19:45:00.000Z,NEFT,0,Hyderabad,LOW,SYNTHETIC
TXN-0000024,CASE-00003,ACC-00007,ACC-00047,40797,2026-01-01T04:42:00.000Z,NEFT,1,Hyderabad,MEDIUM,SYNTHETIC
TXN-0000025,CASE-00004,ACC-00069,ACC-00080,4397,2026-01-01T00:00:00.000Z,UPI,0,Coimbatore,LOW,SYNTHETIC
TXN-0000026,CASE-00004,ACC-00070,ACC-00081,6975,2025-12-31T11:57:00.000Z,TRANSFER,0,Coimbatore,LOW,SYNTHETIC
TXN-0000027,CASE-00004,ACC-00071,ACC-00082,9966,2025-12-31T23:54:00.000Z,TRANSFER,0,Coimbatore,LOW,SYNTHETIC
TXN-0000028,CASE-00004,ACC-00072,ACC-00083,14090,2025-12-31T13:51:00.000Z,IMPS,0,Coimbatore,LOW,SYNTHETIC
TXN-0000029,CASE-00004,ACC-00073,ACC-00084,1160,2025-12-31T08:48:00.000Z,NEFT,0,Coimbatore,LOW,SYNTHETIC
TXN-0000030,CASE-00004,ACC-00074,ACC-00085,15354,2025-12-31T14:45:00.000Z,TRANSFER,0,Coimbatore,LOW,SYNTHETIC
TXN-0000031,CASE-00004,ACC-00075,ACC-00086,19938,2025-12-31T08:42:00.000Z,UPI,0,Coimbatore,LOW,SYNTHETIC
TXN-0000032,CASE-00005,ACC-00086,ACC-00099,12711,2025-12-31T09:00:00.000Z,UPI,0,Pune,LOW,SYNTHETIC
TXN-0000033,CASE-00005,ACC-00087,ACC-00100,5592,2025-12-31T15:57:00.000Z,NEFT,0,Pune,LOW,SYNTHETIC
TXN-0000034,CASE-00005,ACC-00088,ACC-00101,5785,2026-01-01T03:54:00.000Z,IMPS,0,Pune,LOW,SYNTHETIC
TXN-0000035,CASE-00005,ACC-00089,ACC-00102,21131,2025-12-31T13:51:00.000Z,UPI,0,Pune,LOW,SYNTHETIC
TXN-0000036,CASE-00005,ACC-00090,ACC-00103,3599,2025-12-31T15:48:00.000Z,UPI,0,Pune,LOW,SYNTHETIC
TXN-0000037,CASE-00005,ACC-00091,ACC-00104,2707,2025-12-31T15:45:00.000Z,NEFT,0,Pune,LOW,SYNTHETIC
TXN-0000038,CASE-00005,ACC-00092,ACC-00105,15640,2026-01-01T03:42:00.000Z,IMPS,0,Pune,LOW,SYNTHETIC
TXN-0000039,CASE-00005,ACC-00093,ACC-00106,21183,2025-12-31T18:39:00.000Z,TRANSFER,0,Pune,LOW,SYNTHETIC
TXN-0000040,CASE-00005,ACC-00094,ACC-00107,12485,2025-12-31T12:36:00.000Z,UPI,0,Pune,LOW,SYNTHETIC
TXN-0000041,CASE-00005,ACC-00095,ACC-00108,17734,2025-12-31T10:33:00.000Z,IMPS,0,Pune,LOW,SYNTHETIC
TXN-0000042,CASE-00006,ACC-00103,ACC-00118,1911,2025-12-31T15:00:00.000Z,TRANSFER,0,Vijayawada,LOW,SYNTHETIC
TXN-0000043,CASE-00006,ACC-00104,ACC-00119,3799,2025-12-31T23:57:00.000Z,TRANSFER,0,Vijayawada,LOW,SYNTHETIC
TXN-0000044,CASE-00006,ACC-00105,ACC-00120,7499,2025-12-31T17:54:00.000Z,TRANSFER,0,Vijayawada,LOW,SYNTHETIC
TXN-0000045,CASE-00006,ACC-00106,ACC-00121,13288,2025-12-31T10:51:00.000Z,TRANSFER,0,Vijayawada,LOW,SYNTHETIC
TXN-0000046,CASE-00006,ACC-00107,ACC-00122,14094,2025-12-31T18:48:00.000Z,NEFT,0,Vijayawada,LOW,SYNTHETIC
TXN-0000047,CASE-00006,ACC-00108,ACC-00123,10596,2026-01-01T01:45:00.000Z,IMPS,0,Vijayawada,LOW,SYNTHETIC
TXN-0000048,CASE-00007,ACC-00120,ACC-00137,9100,2025-12-31T21:00:00.000Z,UPI,0,Chennai,LOW,SYNTHETIC
TXN-0000049,CASE-00007,ACC-00121,ACC-00138,15878,2025-12-31T20:57:00.000Z,NEFT,0,Chennai,LOW,SYNTHETIC
TXN-0000050,CASE-00007,ACC-00122,ACC-00139,18600,2025-12-31T10:54:00.000Z,NEFT,0,Chennai,LOW,SYNTHETIC
TXN-0000051,CASE-00007,ACC-00123,ACC-00140,16151,2025-12-31T11:51:00.000Z,TRANSFER,0,Chennai,LOW,SYNTHETIC
TXN-0000052,CASE-00007,ACC-00124,ACC-00141,5989,2026-01-01T04:48:00.000Z,NEFT,0,Chennai,LOW,SYNTHETIC
TXN-0000053,CASE-00007,ACC-00125,ACC-00142,15392,2025-12-31T19:45:00.000Z,IMPS,0,Chennai,LOW,SYNTHETIC
TXN-0000054,CASE-00007,ACC-00126,ACC-00143,10225,2025-12-31T12:42:00.000Z,UPI,0,Chennai,LOW,SYNTHETIC
TXN-0000055,CASE-00007,ACC-00127,ACC-00144,4619,2025-12-31T21:39:00.000Z,TRANSFER,0,Chennai,LOW,SYNTHETIC
TXN-0000056,CASE-00007,ACC-00128,ACC-00145,14134,2026-01-01T05:36:00.000Z,NEFT,0,Chennai,LOW,SYNTHETIC
TXN-0000057,CASE-00008,ACC-00137,ACC-00156,12545,2026-01-01T07:00:00.000Z,IMPS,0,Bengaluru,LOW,SYNTHETIC
TXN-0000058,CASE-00008,ACC-00138,ACC-00157,5455,2025-12-31T12:57:00.000Z,TRANSFER,0,Bengaluru,LOW,SYNTHETIC
TXN-0000059,CASE-00008,ACC-00139,ACC-00158,5436,2025-12-31T13:54:00.000Z,UPI,0,Bengaluru,LOW,SYNTHETIC
TXN-0000060,CASE-00008,ACC-00140,ACC-00159,3435,2025-12-31T21:51:00.000Z,TRANSFER,0,Bengaluru,LOW,SYNTHETIC
TXN-0000061,CASE-00008,ACC-00141,ACC-00160,6475,2026-01-01T05:48:00.000Z,NEFT,0,Bengaluru,LOW,SYNTHETIC
TXN-0000062,CASE-00008,ACC-00142,ACC-00161,17749,2025-12-31T20:45:00.000Z,TRANSFER,0,Bengaluru,LOW,SYNTHETIC
TXN-0000063,CASE-00009,ACC-00154,ACC-00175,10555,2025-12-31T15:00:00.000Z,NEFT,0,Hyderabad,LOW,SYNTHETIC
TXN-0000064,CASE-00009,ACC-00155,ACC-00176,13037,2026-01-01T04:57:00.000Z,UPI,0,Hyderabad,LOW,SYNTHETIC
TXN-0000065,CASE-00009,ACC-00156,ACC-00177,18301,2026-01-01T04:54:00.000Z,IMPS,0,Hyderabad,LOW,SYNTHETIC
TXN-0000066,CASE-00009,ACC-00157,ACC-00178,13401,2025-12-31T19:51:00.000Z,TRANSFER,0,Hyderabad,LOW,SYNTHETIC
TXN-0000067,CASE-00009,ACC-00158,ACC-00179,648,2025-12-31T18:48:00.000Z,TRANSFER,0,Hyderabad,LOW,SYNTHETIC
TXN-0000068,CASE-00009,ACC-00159,ACC-00180,12686,2025-12-31T14:45:00.000Z,TRANSFER,0,Hyderabad,LOW,SYNTHETIC
TXN-0000069,CASE-00009,ACC-00160,ACC-00181,12583,2025-12-31T23:42:00.000Z,NEFT,0,Hyderabad,LOW,SYNTHETIC
TXN-0000070,CASE-00009,ACC-00161,ACC-00182,20123,2026-01-01T04:39:00.000Z,IMPS,0,Hyderabad,LOW,SYNTHETIC
TXN-0000071,CASE-00009,ACC-00162,ACC-00183,19644,2025-12-31T12:36:00.000Z,TRANSFER,0,Hyderabad,LOW,SYNTHETIC
TXN-0000072,CASE-00010,ACC-00171,ACC-00194,8242,2026-01-01T08:00:00.000Z,TRANSFER,0,Coimbatore,LOW,SYNTHETIC
TXN-0000073,CASE-00010,ACC-00172,ACC-00195,2926,2026-01-01T02:57:00.000Z,UPI,0,Coimbatore,LOW,SYNTHETIC
TXN-0000074,CASE-00010,ACC-00173,ACC-00196,20131,2025-12-31T19:54:00.000Z,NEFT,0,Coimbatore,LOW,SYNTHETIC
TXN-0000075,CASE-00010,ACC-00174,ACC-00197,12884,2026-01-01T01:51:00.000Z,UPI,0,Coimbatore,LOW,SYNTHETIC
TXN-0000076,CASE-00010,ACC-00175,ACC-00198,15496,2025-12-31T19:48:00.000Z,TRANSFER,0,Coimbatore,LOW,SYNTHETIC
TXN-0000077,CASE-00010,ACC-00176,ACC-00199,19788,2025-12-31T13:45:00.000Z,NEFT,0,Coimbatore,LOW,SYNTHETIC
TXN-0000078,CASE-00010,ACC-00177,ACC-00200,12512,2026-01-01T06:42:00.000Z,TRANSFER,0,Coimbatore,LOW,SYNTHETIC
TXN-0000079,CASE-00010,ACC-00178,ACC-00201,2813,2026-01-01T00:39:00.000Z,TRANSFER,0,Coimbatore,LOW,SYNTHETIC
TXN-0000080,CASE-00010,ACC-00179,ACC-00202,10842,2026-01-01T01:36:00.000Z,IMPS,0,Coimbatore,LOW,SYNTHETIC
TXN-0000081,CASE-00011,ACC-00188,ACC-00213,20848,2026-01-01T09:00:00.000Z,TRANSFER,0,Pune,LOW,SYNTHETIC
TXN-0000082,CASE-00011,ACC-00189,ACC-00214,2292,2025-12-31T22:57:00.000Z,UPI,0,Pune,LOW,SYNTHETIC
TXN-0000083,CASE-00011,ACC-00190,ACC-00215,18766,2026-01-01T04:54:00.000Z,NEFT,0,Pune,LOW,SYNTHETIC
TXN-0000084,CASE-00011,ACC-00191,ACC-00216,7427,2025-12-31T22:51:00.000Z,NEFT,0,Pune,LOW,SYNTHETIC
TXN-0000085,CASE-00011,ACC-00192,ACC-00217,12772,2025-12-31T19:48:00.000Z,TRANSFER,0,Pune,LOW,SYNTHETIC
TXN-0000086,CASE-00011,ACC-00193,ACC-00218,15427,2026-01-01T02:45:00.000Z,IMPS,0,Pune,LOW,SYNTHETIC
TXN-0000087,CASE-00011,ACC-00194,ACC-00219,15060,2025-12-31T14:42:00.000Z,TRANSFER,0,Pune,LOW,SYNTHETIC
TXN-0000088,CASE-00011,ACC-00195,ACC-00220,21920,2025-12-31T21:39:00.000Z,UPI,0,Pune,LOW,SYNTHETIC
TXN-0000089,CASE-00011,ACC-00196,ACC-00221,13668,2026-01-01T09:36:00.000Z,TRANSFER,0,Pune,LOW,SYNTHETIC
TXN-0000090,CASE-00011,ACC-00023,ACC-00151,52779,2026-01-01T11:03:00.000Z,UPI,1,Pune,MEDIUM,SYNTHETIC
TXN-0000091,CASE-00012,ACC-00205,ACC-00232,14773,2025-12-31T18:00:00.000Z,IMPS,0,Vijayawada,LOW,SYNTHETIC
TXN-0000092,CASE-00012,ACC-00206,ACC-00233,6991,2026-01-01T02:57:00.000Z,IMPS,0,Vijayawada,LOW,SYNTHETIC
TXN-0000093,CASE-00012,ACC-00207,ACC-00234,4350,2025-12-31T23:54:00.000Z,NEFT,0,Vijayawada,LOW,SYNTHETIC
TXN-0000094,CASE-00012,ACC-00208,ACC-00235,3222,2026-01-01T08:51:00.000Z,UPI,0,Vijayawada,LOW,SYNTHETIC
TXN-0000095,CASE-00012,ACC-00209,ACC-00236,4481,2026-01-01T05:48:00.000Z,IMPS,0,Vijayawada,LOW,SYNTHETIC
TXN-0000096,CASE-00012,ACC-00210,ACC-00237,4256,2025-12-31T19:45:00.000Z,IMPS,0,Vijayawada,LOW,SYNTHETIC
TXN-0000097,CASE-00013,ACC-00222,ACC-00251,7168,2026-01-01T11:00:00.000Z,TRANSFER,0,Chennai,LOW,SYNTHETIC
TXN-0000098,CASE-00013,ACC-00223,ACC-00252,5173,2025-12-31T19:57:00.000Z,NEFT,0,Chennai,LOW,SYNTHETIC
TXN-0000099,CASE-00013,ACC-00224,ACC-00253,8479,2025-12-31T16:54:00.000Z,IMPS,0,Chennai,LOW,SYNTHETIC
TXN-0000100,CASE-00013,ACC-00225,ACC-00254,12587,2026-01-01T01:51:00.000Z,TRANSFER,0,Chennai,LOW,SYNTHETIC
TXN-0000101,CASE-00013,ACC-00226,ACC-00255,17848,2025-12-31T20:48:00.000Z,UPI,0,Chennai,LOW,SYNTHETIC
TXN-0000102,CASE-00013,ACC-00227,ACC-00256,16378,2026-01-01T11:45:00.000Z,TRANSFER,0,Chennai,LOW,SYNTHETIC
TXN-0000103,CASE-00013,ACC-00228,ACC-00257,13444,2025-12-31T16:42:00.000Z,UPI,0,Chennai,LOW,SYNTHETIC
TXN-0000104,CASE-00013,ACC-00229,ACC-00258,17805,2026-01-01T07:39:00.000Z,IMPS,0,Chennai,LOW,SYNTHETIC
TXN-0000105,CASE-00013,ACC-00027,ACC-00177,76583,2026-01-01T15:14:00.000Z,IMPS,1,Chennai,HIGH,SYNTHETIC
TXN-0000106,CASE-00014,ACC-00239,ACC-00270,4262,2026-01-01T03:00:00.000Z,TRANSFER,0,Bengaluru,LOW,SYNTHETIC
TXN-0000107,CASE-00014,ACC-00240,ACC-00271,19015,2025-12-31T22:57:00.000Z,TRANSFER,0,Bengaluru,LOW,SYNTHETIC
TXN-0000108,CASE-00014,ACC-00241,ACC-00272,3429,2025-12-31T19:54:00.000Z,IMPS,0,Bengaluru,LOW,SYNTHETIC
TXN-0000109,CASE-00014,ACC-00242,ACC-00273,11672,2026-01-01T02:51:00.000Z,UPI,0,Bengaluru,LOW,SYNTHETIC
TXN-0000110,CASE-00014,ACC-00243,ACC-00274,10321,2026-01-01T11:48:00.000Z,TRANSFER,0,Bengaluru,LOW,SYNTHETIC
TXN-0000111,CASE-00014,ACC-00244,ACC-00275,21864,2026-01-01T01:45:00.000Z,UPI,0,Bengaluru,LOW,SYNTHETIC
TXN-0000112,CASE-00014,ACC-00245,ACC-00276,13341,2025-12-31T20:42:00.000Z,UPI,0,Bengaluru,LOW,SYNTHETIC
TXN-0000113,CASE-00014,ACC-00246,ACC-00277,7237,2026-01-01T05:39:00.000Z,IMPS,0,Bengaluru,LOW,SYNTHETIC
TXN-0000114,CASE-00015,ACC-00256,ACC-00289,6178,2025-12-31T19:00:00.000Z,IMPS,0,Hyderabad,LOW,SYNTHETIC
TXN-0000115,CASE-00015,ACC-00257,ACC-00290,8969,2026-01-01T10:57:00.000Z,IMPS,0,Hyderabad,LOW,SYNTHETIC
TXN-0000116,CASE-00015,ACC-00258,ACC-00291,14611,2026-01-01T00:54:00.000Z,IMPS,0,Hyderabad,LOW,SYNTHETIC
TXN-0000117,CASE-00015,ACC-00259,ACC-00292,13657,2026-01-01T01:51:00.000Z,TRANSFER,0,Hyderabad,LOW,SYNTHETIC
TXN-0000118,CASE-00015,ACC-00260,ACC-00293,16636,2026-01-01T00:48:00.000Z,UPI,0,Hyderabad,LOW,SYNTHETIC
TXN-0000119,CASE-00015,ACC-00261,ACC-00294,11464,2025-12-31T21:45:00.000Z,IMPS,0,Hyderabad,LOW,SYNTHETIC
TXN-0000120,CASE-00016,ACC-00273,ACC-00308,4763,2026-01-01T10:00:00.000Z,UPI,0,Coimbatore,LOW,SYNTHETIC
TXN-0000121,CASE-00016,ACC-00274,ACC-00309,19919,2026-01-01T01:57:00.000Z,TRANSFER,0,Coimbatore,LOW,SYNTHETIC
TXN-0000122,CASE-00016,ACC-00275,ACC-00310,17056,2026-01-01T04:54:00.000Z,UPI,0,Coimbatore,LOW,SYNTHETIC
TXN-0000123,CASE-00016,ACC-00276,ACC-00311,8694,2026-01-01T12:51:00.000Z,UPI,0,Coimbatore,LOW,SYNTHETIC
TXN-0000124,CASE-00016,ACC-00277,ACC-00312,15976,2025-12-31T21:48:00.000Z,UPI,0,Coimbatore,LOW,SYNTHETIC
TXN-0000125,CASE-00016,ACC-00278,ACC-00313,11918,2026-01-01T05:45:00.000Z,UPI,0,Coimbatore,LOW,SYNTHETIC
TXN-0000126,CASE-00016,ACC-00033,ACC-00216,103603,2026-01-01T16:05:00.000Z,TRANSFER,1,Coimbatore,HIGH,SYNTHETIC
TXN-0000127,CASE-00017,ACC-00290,ACC-00327,17487,2026-01-01T10:00:00.000Z,TRANSFER,0,Pune,LOW,SYNTHETIC
TXN-0000128,CASE-00017,ACC-00291,ACC-00328,7564,2026-01-01T11:57:00.000Z,TRANSFER,0,Pune,LOW,SYNTHETIC
TXN-0000129,CASE-00017,ACC-00292,ACC-00329,21532,2026-01-01T11:54:00.000Z,TRANSFER,0,Pune,LOW,SYNTHETIC
TXN-0000130,CASE-00017,ACC-00293,ACC-00330,21866,2026-01-01T11:51:00.000Z,TRANSFER,0,Pune,LOW,SYNTHETIC
TXN-0000131,CASE-00017,ACC-00294,ACC-00331,6817,2026-01-01T11:48:00.000Z,UPI,0,Pune,LOW,SYNTHETIC
TXN-0000132,CASE-00017,ACC-00295,ACC-00332,1512,2026-01-01T14:45:00.000Z,UPI,0,Pune,LOW,SYNTHETIC
TXN-0000133,CASE-00017,ACC-00296,ACC-00333,3103,2025-12-31T20:42:00.000Z,IMPS,0,Pune,LOW,SYNTHETIC
TXN-0000134,CASE-00017,ACC-00297,ACC-00334,17308,2025-12-31T23:39:00.000Z,TRANSFER,0,Pune,LOW,SYNTHETIC
TXN-0000135,CASE-00017,ACC-00298,ACC-00335,2968,2026-01-01T05:36:00.000Z,NEFT,0,Pune,LOW,SYNTHETIC
TXN-0000136,CASE-00018,ACC-00307,ACC-00346,1513,2026-01-01T14:00:00.000Z,UPI,0,Vijayawada,LOW,SYNTHETIC
TXN-0000137,CASE-00018,ACC-00308,ACC-00347,18198,2026-01-01T04:57:00.000Z,TRANSFER,0,Vijayawada,LOW,SYNTHETIC
TXN-0000138,CASE-00018,ACC-00309,ACC-00348,7775,2025-12-31T21:54:00.000Z,UPI,0,Vijayawada,LOW,SYNTHETIC
TXN-0000139,CASE-00018,ACC-00310,ACC-00349,11588,2026-01-01T03:51:00.000Z,NEFT,0,Vijayawada,LOW,SYNTHETIC
TXN-0000140,CASE-00018,ACC-00311,ACC-00350,17401,2026-01-01T06:48:00.000Z,TRANSFER,0,Vijayawada,LOW,SYNTHETIC
TXN-0000141,CASE-00018,ACC-00312,ACC-00351,3795,2026-01-01T14:45:00.000Z,NEFT,0,Vijayawada,LOW,SYNTHETIC
TXN-0000142,CASE-00018,ACC-00313,ACC-00352,8943,2025-12-31T21:42:00.000Z,UPI,0,Vijayawada,LOW,SYNTHETIC
TXN-0000143,CASE-00018,ACC-00314,ACC-00353,3445,2026-01-01T01:39:00.000Z,UPI,0,Vijayawada,LOW,SYNTHETIC
TXN-0000144,CASE-00018,ACC-00315,ACC-00354,1975,2026-01-01T12:36:00.000Z,NEFT,0,Vijayawada,LOW,SYNTHETIC
TXN-0000145,CASE-00019,ACC-00324,ACC-00365,16033,2026-01-01T02:00:00.000Z,IMPS,0,Chennai,LOW,SYNTHETIC
TXN-0000146,CASE-00019,ACC-00325,ACC-00366,13780,2025-12-31T23:57:00.000Z,NEFT,0,Chennai,LOW,SYNTHETIC
TXN-0000147,CASE-00019,ACC-00326,ACC-00367,12254,2026-01-01T05:54:00.000Z,UPI,0,Chennai,LOW,SYNTHETIC
TXN-0000148,CASE-00019,ACC-00327,ACC-00368,5931,2026-01-01T10:51:00.000Z,UPI,0,Chennai,LOW,SYNTHETIC
TXN-0000149,CASE-00019,ACC-00328,ACC-00369,7578,2026-01-01T04:48:00.000Z,TRANSFER,0,Chennai,LOW,SYNTHETIC
TXN-0000150,CASE-00019,ACC-00329,ACC-00370,5342,2026-01-01T09:45:00.000Z,TRANSFER,0,Chennai,LOW,SYNTHETIC
TXN-0000151,CASE-00019,ACC-00330,ACC-00371,19598,2026-01-01T00:42:00.000Z,UPI,0,Chennai,LOW,SYNTHETIC
TXN-0000152,CASE-00019,ACC-00039,ACC-00255,63712,2026-01-02T10:00:00.000Z,IMPS,1,Chennai,MEDIUM,SYNTHETIC
TXN-0000153,CASE-00020,ACC-00341,ACC-00384,5942,2026-01-01T04:00:00.000Z,TRANSFER,0,Bengaluru,LOW,SYNTHETIC
TXN-0000154,CASE-00020,ACC-00342,ACC-00385,9795,2026-01-01T14:57:00.000Z,TRANSFER,0,Bengaluru,LOW,SYNTHETIC
TXN-0000155,CASE-00020,ACC-00343,ACC-00386,20070,2026-01-01T06:54:00.000Z,IMPS,0,Bengaluru,LOW,SYNTHETIC
TXN-0000156,CASE-00020,ACC-00344,ACC-00387,18082,2026-01-01T09:51:00.000Z,NEFT,0,Bengaluru,LOW,SYNTHETIC
TXN-0000157,CASE-00020,ACC-00345,ACC-00388,3373,2026-01-01T00:48:00.000Z,UPI,0,Bengaluru,LOW,SYNTHETIC
TXN-0000158,CASE-00020,ACC-00346,ACC-00389,11576,2026-01-01T17:45:00.000Z,NEFT,0,Bengaluru,LOW,SYNTHETIC
TXN-0000159,CASE-00020,ACC-00347,ACC-00390,21076,2026-01-01T11:42:00.000Z,TRANSFER,0,Bengaluru,LOW,SYNTHETIC
TXN-0000160,CASE-00021,ACC-00358,ACC-00403,8876,2026-01-01T11:00:00.000Z,IMPS,0,Hyderabad,LOW,SYNTHETIC
TXN-0000161,CASE-00021,ACC-00359,ACC-00404,13342,2026-01-01T03:57:00.000Z,NEFT,0,Hyderabad,LOW,SYNTHETIC
TXN-0000162,CASE-00021,ACC-00360,ACC-00405,16124,2026-01-01T11:54:00.000Z,IMPS,0,Hyderabad,LOW,SYNTHETIC
TXN-0000163,CASE-00021,ACC-00361,ACC-00406,8766,2026-01-01T12:51:00.000Z,UPI,0,Hyderabad,LOW,SYNTHETIC
TXN-0000164,CASE-00021,ACC-00362,ACC-00407,9571,2026-01-01T11:48:00.000Z,UPI,0,Hyderabad,LOW,SYNTHETIC
TXN-0000165,CASE-00021,ACC-00363,ACC-00408,21005,2026-01-01T17:45:00.000Z,NEFT,0,Hyderabad,LOW,SYNTHETIC
TXN-0000166,CASE-00021,ACC-00364,ACC-00409,15521,2026-01-01T10:42:00.000Z,UPI,0,Hyderabad,LOW,SYNTHETIC
TXN-0000167,CASE-00021,ACC-00365,ACC-00410,8012,2026-01-01T04:39:00.000Z,TRANSFER,0,Hyderabad,LOW,SYNTHETIC
TXN-0000168,CASE-00021,ACC-00366,ACC-00411,20881,2026-01-01T06:36:00.000Z,NEFT,0,Hyderabad,LOW,SYNTHETIC
TXN-0000169,CASE-00022,ACC-00375,ACC-00422,7108,2026-01-01T12:00:00.000Z,TRANSFER,0,Coimbatore,LOW,SYNTHETIC
TXN-0000170,CASE-00022,ACC-00376,ACC-00423,7044,2026-01-01T17:57:00.000Z,TRANSFER,0,Coimbatore,LOW,SYNTHETIC
TXN-0000171,CASE-00022,ACC-00377,ACC-00424,4454,2026-01-01T20:54:00.000Z,NEFT,0,Coimbatore,LOW,SYNTHETIC
TXN-0000172,CASE-00022,ACC-00378,ACC-00425,10517,2026-01-01T17:51:00.000Z,IMPS,0,Coimbatore,LOW,SYNTHETIC
TXN-0000173,CASE-00022,ACC-00379,ACC-00426,2028,2026-01-01T17:48:00.000Z,UPI,0,Coimbatore,LOW,SYNTHETIC
TXN-0000174,CASE-00022,ACC-00380,ACC-00427,17398,2026-01-01T06:45:00.000Z,TRANSFER,0,Coimbatore,LOW,SYNTHETIC
TXN-0000175,CASE-00022,ACC-00381,ACC-00428,13008,2026-01-01T18:42:00.000Z,TRANSFER,0,Coimbatore,LOW,SYNTHETIC
TXN-0000176,CASE-00022,ACC-00382,ACC-00429,11763,2026-01-01T01:39:00.000Z,TRANSFER,0,Coimbatore,LOW,SYNTHETIC
TXN-0000177,CASE-00023,ACC-00392,ACC-00441,8966,2026-01-01T15:00:00.000Z,IMPS,0,Pune,LOW,SYNTHETIC
TXN-0000178,CASE-00023,ACC-00393,ACC-00442,13674,2026-01-01T19:57:00.000Z,NEFT,0,Pune,LOW,SYNTHETIC
TXN-0000179,CASE-00023,ACC-00394,ACC-00443,8416,2026-01-01T10:54:00.000Z,UPI,0,Pune,LOW,SYNTHETIC
TXN-0000180,CASE-00023,ACC-00395,ACC-00444,14377,2026-01-01T17:51:00.000Z,NEFT,0,Pune,LOW,SYNTHETIC
TXN-0000181,CASE-00023,ACC-00396,ACC-00445,9641,2026-01-01T03:48:00.000Z,IMPS,0,Pune,LOW,SYNTHETIC
TXN-0000182,CASE-00023,ACC-00397,ACC-00446,20271,2026-01-01T05:45:00.000Z,UPI,0,Pune,LOW,SYNTHETIC
TXN-0000183,CASE-00023,ACC-00398,ACC-00447,9815,2026-01-01T17:42:00.000Z,TRANSFER,0,Pune,LOW,SYNTHETIC
TXN-0000184,CASE-00023,ACC-00399,ACC-00448,12202,2026-01-01T12:39:00.000Z,IMPS,0,Pune,LOW,SYNTHETIC
