case_id,candidate_atm_id,distance_from_last_activity,distance_from_previous_withdrawal,regional_match,time_compatibility,historical_area_score,is_actual_withdrawal,split,source_type
CASE-00004,ATM-094,2.91,2.74,1,0.536,0.157,0,TRAIN,SYNTHETIC
CASE-00004,ATM-112,5.05,4.85,1,0.497,0.598,0,TRAIN,SYNTHETIC
CASE-00004,ATM-004,6.3,6.65,1,0.462,0.683,0,TRAIN,SYNTHETIC
CASE-00004,ATM-088,7.76,6.48,1,0.519,0.93,0,TRAIN,SYNTHETIC
CASE-00004,ATM-026,219.56,147.81,0,0.58,0.129,1,TRAIN,SYNTHETIC
CASE-00005,ATM-119,1.38,1.67,1,0.453,0.092,0,TRAIN,SYNTHETIC
CASE-00005,ATM-077,2.57,1.48,1,0.529,0.876,0,TRAIN,SYNTHETIC
CASE-00005,ATM-041,4.57,4.67,1,0.942,0.385,0,TRAIN,SYNTHETIC
CASE-00005,ATM-053,6.91,5.22,1,0.876,0.014,0,TRAIN,SYNTHETIC
CASE-00005,ATM-017,7.17,6.78,1,0.61,0.81,0,TRAIN,SYNTHETIC
CASE-00005,ATM-101,8.31,8.14,1,0.462,0.631,0,TRAIN,SYNTHETIC
CASE-00005,ATM-059,8.94,8.73,1,0.595,0.135,0,TRAIN,SYNTHETIC
CASE-00005,ATM-034,909.88,1165.92,0,0.74,0.693,1,TRAIN,SYNTHETIC
CASE-00006,ATM-120,1.22,0.76,1,0.824,0.967,0,TRAIN,SYNTHETIC
CASE-00006,ATM-078,2.38,1.31,1,0.575,0.765,0,TRAIN,SYNTHETIC
CASE-00006,ATM-018,4.57,3.09,1,0.962,0.824,0,TRAIN,SYNTHETIC
CASE-00006,ATM-072,5.09,4.54,1,0.587,0.981,0,TRAIN,SYNTHETIC
CASE-00006,ATM-048,6.51,5.79,1,0.991,0.036,0,TRAIN,SYNTHETIC
CASE-00006,ATM-042,6.91,5.86,1,0.552,0.611,0,TRAIN,SYNTHETIC
CASE-00006,ATM-024,6.94,4.07,1,0.936,0.556,0,TRAIN,SYNTHETIC
CASE-00006,ATM-066,7.01,7.08,1,0.636,0.646,0,TRAIN,SYNTHETIC
CASE-00007,ATM-001,2.76,3.23,1,0.947,0.476,0,TRAIN,SYNTHETIC
CASE-00007,ATM-073,3.01,2.44,1,0.565,0.059,0,TRAIN,SYNTHETIC
CASE-00007,ATM-103,4.3,4.46,1,0.581,0.04,0,TRAIN,SYNTHETIC
CASE-00007,ATM-043,5.15,6.8,1,0.786,0.369,0,TRAIN,SYNTHETIC
CASE-00007,ATM-115,5.3,5.18,1,0.533,0.106,0,TRAIN,SYNTHETIC
CASE-00007,ATM-085,7.22,8.08,1,0.515,0.152,0,TRAIN,SYNTHETIC
CASE-00007,ATM-025,7.23,4.2,1,0.51,0.228,0,TRAIN,SYNTHETIC
CASE-00007,ATM-067,7.39,5.08,1,0.85,0.035,0,TRAIN,SYNTHETIC
CASE-00008,ATM-020,2.69,2.25,1,0.746,0.042,0,TRAIN,SYNTHETIC
CASE-00008,ATM-086,2.9,4.01,1,0.457,0.692,0,TRAIN,SYNTHETIC
CASE-00008,ATM-032,3.44,4.35,1,0.781,0.943,0,TRAIN,SYNTHETIC
CASE-00008,ATM-074,4.87,5.13,1,0.546,0.816,0,TRAIN,SYNTHETIC
CASE-00008,ATM-116,5.43,5.79,1,0.482,0.151,0,TRAIN,SYNTHETIC
CASE-00008,ATM-110,6.49,5.67,1,0.559,0.382,0,TRAIN,SYNTHETIC
CASE-00008,ATM-080,6.52,6.49,1,0.804,0.205,0,TRAIN,SYNTHETIC
CASE-00008,ATM-008,7.41,6.13,1,0.532,0.312,0,TRAIN,SYNTHETIC
CASE-00009,ATM-099,4.13,5.86,1,0.489,0.491,0,TRAIN,SYNTHETIC
CASE-00009,ATM-075,4.56,3.31,1,0.891,0.792,0,TRAIN,SYNTHETIC
CASE-00009,ATM-009,5.24,4.25,1,0.904,0.298,0,TRAIN,SYNTHETIC
CASE-00009,ATM-105,5.66,6.22,1,0.651,0.711,0,TRAIN,SYNTHETIC
CASE-00009,ATM-027,6.31,8.76,1,0.921,0.64,0,TRAIN,SYNTHETIC
CASE-00009,ATM-021,7.1,8.33,1,0.816,0.204,0,TRAIN,SYNTHETIC
CASE-00009,ATM-081,7.72,8.75,1,0.827,0.912,0,TRAIN,SYNTHETIC
CASE-00009,ATM-003,7.98,5.09,1,0.617,0.694,0,TRAIN,SYNTHETIC
CASE-00010,ATM-046,1.99,2.35,1,0.497,0.075,0,TRAIN,SYNTHETIC
CASE-00010,ATM-040,2.48,2.91,1,0.778,0.397,0,TRAIN,SYNTHETIC
CASE-00010,ATM-064,2.56,1.44,1,0.891,0.731,0,TRAIN,SYNTHETIC
CASE-00010,ATM-094,2.91,3.32,1,0.833,0.321,0,TRAIN,SYNTHETIC
CASE-00010,ATM-112,5.05,3.93,1,0.63,0.18,0,TRAIN,SYNTHETIC
CASE-00010,ATM-004,6.3,8.21,1,0.731,0.128,0,TRAIN,SYNTHETIC
CASE-00010,ATM-088,7.76,11.13,1,0.686,0.028,0,TRAIN,SYNTHETIC
CASE-00010,ATM-058,8.21,7.08,1,0.497,0.401,0,TRAIN,SYNTHETIC
CASE-00011,ATM-119,1.38,1.26,1,0.594,0.794,0,TRAIN,SYNTHETIC
CASE-00011,ATM-077,2.57,2.58,1,0.863,0.673,0,TRAIN,SYNTHETIC
CASE-00011,ATM-041,4.57,2.93,1,0.873,0.848,0,TRAIN,SYNTHETIC
CASE-00011,ATM-053,6.91,7.79,1,0.95,0.118,0,TRAIN,SYNTHETIC
CASE-00011,ATM-017,7.17,4.88,1,0.634,0.646,0,TRAIN,SYNTHETIC
CASE-00011,ATM-101,8.31,5.87,1,0.715,0.078,0,TRAIN,SYNTHETIC
CASE-00011,ATM-059,8.94,12.79,1,0.752,0.717,0,TRAIN,SYNTHETIC
CASE-00011,ATM-061,926.63,745.3,0,0.454,0.864,1,TRAIN,SYNTHETIC
CASE-00012,ATM-120,1.22,0.99,1,0.618,0.985,0,TRAIN,SYNTHETIC
CASE-00012,ATM-078,2.38,1.52,1,0.901,0.191,0,TRAIN,SYNTHETIC
CASE-00012,ATM-018,4.57,4.49,1,0.589,0.271,0,TRAIN,SYNTHETIC
CASE-00012,ATM-072,5.09,5.48,1,0.682,0.823,0,TRAIN,SYNTHETIC
CASE-00012,ATM-048,6.51,7.03,1,0.936,0.061,0,TRAIN,SYNTHETIC
CASE-00012,ATM-042,6.91,5.28,1,0.896,0.71,0,TRAIN,SYNTHETIC
CASE-00012,ATM-024,6.94,8.3,1,0.566,0.697,0,TRAIN,SYNTHETIC
CASE-00012,ATM-066,7.01,9.48,1,0.673,0.865,0,TRAIN,SYNTHETIC
CASE-00013,ATM-001,2.76,2.41,1,0.761,0.089,0,TRAIN,SYNTHETIC
CASE-00013,ATM-073,3.01,3.04,1,0.583,0.913,0,TRAIN,SYNTHETIC
CASE-00013,ATM-103,4.3,4.54,1,0.515,0.742,0,TRAIN,SYNTHETIC
CASE-00013,ATM-043,5.15,4.31,1,0.689,0.816,0,TRAIN,SYNTHETIC
CASE-00013,ATM-115,5.3,3.13,1,0.647,0.648,0,TRAIN,SYNTHETIC
CASE-00013,ATM-085,7.22,4.33,1,0.949,0.71,0,TRAIN,SYNTHETIC
CASE-00013,ATM-025,7.23,6.43,1,0.576,0.965,0,TRAIN,SYNTHETIC
CASE-00013,ATM-092,287.89,191.74,0,0.576,0.306,1,TRAIN,SYNTHETIC
CASE-00014,ATM-020,2.69,2.28,1,0.652,0.738,0,VALIDATION,SYNTHETIC
CASE-00014,ATM-086,2.9,1.75,1,0.95,0.277,0,VALIDATION,SYNTHETIC
CASE-00014,ATM-032,3.44,3.1,1,0.493,0.551,0,VALIDATION,SYNTHETIC
CASE-00014,ATM-074,4.87,6,1,0.654,0.922,0,VALIDATION,SYNTHETIC
CASE-00014,ATM-116,5.43,4.44,1,0.753,0.894,0,VALIDATION,SYNTHETIC
CASE-00014,ATM-110,6.49,7.73,1,0.612,0.789,0,VALIDATION,SYNTHETIC
CASE-00014,ATM-080,6.52,6.99,1,0.949,0.897,0,VALIDATION,SYNTHETIC
CASE-00014,ATM-014,10.24,12.9,1,0.585,0.233,1,VALIDATION,SYNTHETIC
CASE-00015,ATM-099,4.13,5.36,1,0.863,0.598,0,VALIDATION,SYNTHETIC
CASE-00015,ATM-075,4.56,2.63,1,0.585,0.686,0,VALIDATION,SYNTHETIC
CASE-00015,ATM-009,5.24,4.54,1,0.768,0.947,0,VALIDATION,SYNTHETIC
CASE-00015,ATM-105,5.66,5.49,1,0.722,0.874,0,VALIDATION,SYNTHETIC
CASE-00015,ATM-027,6.31,5.81,1,0.669,0.515,0,VALIDATION,SYNTHETIC
CASE-00015,ATM-021,7.1,5.71,1,0.896,0.079,0,VALIDATION,SYNTHETIC
CASE-00015,ATM-081,7.72,4.82,1,0.739,0.833,0,VALIDATION,SYNTHETIC
CASE-00015,ATM-003,7.98,6.1,1,0.825,0.803,0,VALIDATION,SYNTHETIC
CASE-00016,ATM-046,1.99,2.56,1,0.45,0.074,0,VALIDATION,SYNTHETIC
CASE-00016,ATM-040,2.48,2.82,1,0.91,0.935,0,VALIDATION,SYNTHETIC
CASE-00016,ATM-064,2.56,1.66,1,0.625,0.752,0,VALIDATION,SYNTHETIC
CASE-00016,ATM-094,2.91,2.05,1,0.682,0.088,0,VALIDATION,SYNTHETIC
CASE-00016,ATM-112,5.05,4.98,1,0.575,0.669,0,VALIDATION,SYNTHETIC
CASE-00016,ATM-004,6.3,4.5,1,0.933,0.111,0,VALIDATION,SYNTHETIC
CASE-00016,ATM-088,7.76,6.61,1,0.978,0.545,0,VALIDATION,SYNTHETIC
CASE-00016,ATM-071,893.66,908.41,0,0.531,0.67,1,VALIDATION,SYNTHETIC
CASE-00017,ATM-119,1.38,1.56,1,0.943,0.553,0,TEST,SYNTHETIC
CASE-00017,ATM-077,2.57,2.22,1,0.807,0.071,0,TEST,SYNTHETIC
CASE-00017,ATM-041,4.57,4.89,1,0.52,0.328,0,TEST,SYNTHETIC
CASE-00017,ATM-053,6.91,8.16,1,0.661,0.166,0,TEST,SYNTHETIC
CASE-00017,ATM-017,7.17,9.49,1,0.587,0.97,0,TEST,SYNTHETIC
CASE-00017,ATM-101,8.31,5.16,1,0.782,0.089,0,TEST,SYNTHETIC
CASE-00017,ATM-059,8.94,5.14,1,0.479,0.802,0,TEST,SYNTHETIC
CASE-00017,ATM-005,8.96,7.36,1,0.455,1,0,TEST,SYNTHETIC
CASE-00018,ATM-120,1.22,0.91,1,0.63,0.508,0,TEST,SYNTHETIC
CASE-00018,ATM-078,2.38,2.85,1,0.749,0.734,0,TEST,SYNTHETIC
CASE-00018,ATM-018,4.57,4.35,1,0.822,0.978,0,TEST,SYNTHETIC
CASE-00018,ATM-072,5.09,4.5,1,0.869,0.553,0,TEST,SYNTHETIC
CASE-00018,ATM-048,6.51,5.74,1,0.837,0.637,0,TEST,SYNTHETIC
CASE-00018,ATM-042,6.91,4.45,1,0.932,0.298,0,TEST,SYNTHETIC
CASE-00018,ATM-024,6.94,8.36,1,0.963,0.455,0,TEST,SYNTHETIC
CASE-00018,ATM-066,7.01,7.2,1,0.883,0.978,0,TEST,SYNTHETIC
CASE-00019,ATM-001,2.76,2.98,1,0.906,0.001,0,TEST,SYNTHETIC
CASE-00019,ATM-073,3.01,1.83,1,0.792,0.425,0,TEST,SYNTHETIC
CASE-00019,ATM-103,4.3,4.7,1,0.629,0.28,0,TEST,SYNTHETIC
CASE-00019,ATM-043,5.15,6.33,1,0.515,0.2,0,TEST,SYNTHETIC
CASE-00019,ATM-115,5.3,4.56,1,0.715,0.871,0,TEST,SYNTHETIC
CASE-00019,ATM-085,7.22,3.98,1,0.861,0.301,0,TEST,SYNTHETIC
CASE-00019,ATM-025,7.23,5.6,1,0.693,0.588,0,TEST,SYNTHETIC
CASE-00019,ATM-088,424.58,453.99,1,0.897,0.01,1,TEST,SYNTHETIC
CASE-00020,ATM-020,2.69,1.55,1,0.785,0.085,0,TRAIN,SYNTHETIC
CASE-00020,ATM-086,2.9,2.38,1,0.653,0.071,0,TRAIN,SYNTHETIC
CASE-00020,ATM-032,3.44,3.52,1,0.729,0.847,0,TRAIN,SYNTHETIC
CASE-00020,ATM-074,4.87,5.34,1,0.63,0.348,0,TRAIN,SYNTHETIC
CASE-00020,ATM-116,5.43,7.57,1,0.897,0.794,0,TRAIN,SYNTHETIC
CASE-00020,ATM-110,6.49,8.22,1,0.856,0.672,0,TRAIN,SYNTHETIC
CASE-00020,ATM-080,6.52,6.54,1,0.589,0.8,0,TRAIN,SYNTHETIC
CASE-00020,ATM-008,7.41,9.02,1,0.719,0.759,0,TRAIN,SYNTHETIC
CASE-00021,ATM-099,4.13,5.48,1,0.815,0.251,0,TRAIN,SYNTHETIC
CASE-00021,ATM-075,4.56,4.93,1,0.625,0.291,0,TRAIN,SYNTHETIC
CASE-00021,ATM-009,5.24,5.09,1,0.718,0.852,0,TRAIN,SYNTHETIC
CASE-00021,ATM-105,5.66,7.96,1,0.48,0.304,0,TRAIN,SYNTHETIC
CASE-00021,ATM-027,6.31,5.68,1,0.903,0.807,0,TRAIN,SYNTHETIC
CASE-00021,ATM-021,7.1,3.99,1,0.796,0.525,0,TRAIN,SYNTHETIC
CASE-00021,ATM-081,7.72,8.99,1,0.702,0.913,0,TRAIN,SYNTHETIC
CASE-00021,ATM-003,7.98,6.19,1,0.981,0.178,0,TRAIN,SYNTHETIC
CASE-00022,ATM-046,1.99,2.62,1,0.908,0.477,0,TRAIN,SYNTHETIC
CASE-00022,ATM-040,2.48,3.33,1,0.562,0.578,0,TRAIN,SYNTHETIC
CASE-00022,ATM-064,2.56,3.63,1,0.636,0.999,0,TRAIN,SYNTHETIC
CASE-00022,ATM-094,2.91,3.44,1,0.478,0.286,0,TRAIN,SYNTHETIC
CASE-00022,ATM-112,5.05,5.61,1,0.952,0.851,0,TRAIN,SYNTHETIC
CASE-00022,ATM-004,6.3,3.92,1,0.704,0.925,0,TRAIN,SYNTHETIC
CASE-00022,ATM-088,7.76,5.16,1,0.858,0.98,0,TRAIN,SYNTHETIC
CASE-00022,ATM-058,8.21,8.11,1,0.49,0.764,0,TRAIN,SYNTHETIC
CASE-00023,ATM-119,1.38,1.47,1,0.959,0.843,0,TRAIN,SYNTHETIC
CASE-00023,ATM-077,2.57,2.4,1,0.699,0.753,0,TRAIN,SYNTHETIC
CASE-00023,ATM-041,4.57,6.57,1,0.803,0.416,0,TRAIN,SYNTHETIC
CASE-00023,ATM-053,6.91,5.94,1,0.674,0.422,0,TRAIN,SYNTHETIC
CASE-00023,ATM-017,7.17,7.37,1,0.758,0.399,0,TRAIN,SYNTHETIC
CASE-00023,ATM-101,8.31,7.62,1,0.607,0.783,0,TRAIN,SYNTHETIC
CASE-00023,ATM-059,8.94,5.81,1,0.617,0.198,0,TRAIN,SYNTHETIC
CASE-00023,ATM-042,760.57,562.06,0,0.482,0.9,1,TRAIN,SYNTHETIC
CASE-00024,ATM-120,1.22,1.39,1,0.879,0.54,0,TRAIN,SYNTHETIC
CASE-00024,ATM-078,2.38,3.15,1,0.765,0.374,0,TRAIN,SYNTHETIC
CASE-00024,ATM-018,4.57,4.39,1,0.803,0.265,0,TRAIN,SYNTHETIC
CASE-00024,ATM-072,5.09,6.46,1,0.463,0.914,0,TRAIN,SYNTHETIC
CASE-00024,ATM-048,6.51,5.7,1,0.66,0.341,0,TRAIN,SYNTHETIC
CASE-00024,ATM-042,6.91,8.57,1,0.615,0.77,0,TRAIN,SYNTHETIC
CASE-00024,ATM-024,6.94,5.37,1,0.68,0.497,0,TRAIN,SYNTHETIC
CASE-00024,ATM-066,7.01,7.22,1,0.564,0.304,0,TRAIN,SYNTHETIC
CASE-00025,ATM-001,2.76,3.22,1,0.888,0.353,0,TRAIN,SYNTHETIC
CASE-00025,ATM-073,3.01,3.06,1,0.866,0.279,0,TRAIN,SYNTHETIC
CASE-00025,ATM-103,4.3,3.37,1,0.789,0.799,0,TRAIN,SYNTHETIC
CASE-00025,ATM-043,5.15,5.65,1,0.656,0.629,0,TRAIN,SYNTHETIC
CASE-00025,ATM-115,5.3,5.8,1,0.63,0.372,0,TRAIN,SYNTHETIC
CASE-00025,ATM-085,7.22,6.84,1,0.972,0.514,0,TRAIN,SYNTHETIC
CASE-00025,ATM-025,7.23,7.1,1,0.489,0.718,0,TRAIN,SYNTHETIC
CASE-00025,ATM-065,917.43,792.94,0,0.464,0.721,1,TRAIN,SYNTHETIC
CASE-00026,ATM-020,2.69,3.02,1,0.798,0.398,0,TRAIN,SYNTHETIC
CASE-00026,ATM-086,2.9,1.66,1,0.917,0.429,0,TRAIN,SYNTHETIC
CASE-00026,ATM-032,3.44,4.15,1,0.505,0.623,0,TRAIN,SYNTHETIC
CASE-00026,ATM-074,4.87,3.82,1,0.541,0.585,0,TRAIN,SYNTHETIC
CASE-00026,ATM-116,5.43,4.07,1,0.748,0.789,0,TRAIN,SYNTHETIC
CASE-00026,ATM-110,6.49,5.84,1,0.523,0.99,0,TRAIN,SYNTHETIC
CASE-00026,ATM-080,6.52,7.93,1,0.86,0.664,0,TRAIN,SYNTHETIC
CASE-00026,ATM-008,7.41,6.8,1,0.507,0.542,0,TRAIN,SYNTHETIC
CASE-00027,ATM-099,4.13,3.81,1,0.5,0.796,0,TRAIN,SYNTHETIC
CASE-00027,ATM-075,4.56,4.69,1,0.804,0.664,0,TRAIN,SYNTHETIC
CASE-00027,ATM-009,5.24,4.16,1,0.647,0.894,0,TRAIN,SYNTHETIC
CASE-00027,ATM-105,5.66,3.88,1,0.815,0.503,0,TRAIN,SYNTHETIC
CASE-00027,ATM-027,6.31,6.01,1,0.64,0.287,0,TRAIN,SYNTHETIC
CASE-00027,ATM-021,7.1,4.74,1,0.809,0.546,0,TRAIN,SYNTHETIC
CASE-00027,ATM-081,7.72,8.24,1,0.748,0.555,0,TRAIN,SYNTHETIC
CASE-00027,ATM-003,7.98,5.64,1,0.98,0.191,0,TRAIN,SYNTHETIC
CASE-00028,ATM-046,1.99,2.17,1,0.572,0.752,0,TRAIN,SYNTHETIC
CASE-00028,ATM-040,2.48,2.3,1,0.843,0.063,0,TRAIN,SYNTHETIC
CASE-00028,ATM-064,2.56,2.18,1,0.844,0.014,0,TRAIN,SYNTHETIC
CASE-00028,ATM-094,2.91,2.65,1,0.592,0.836,0,TRAIN,SYNTHETIC
CASE-00028,ATM-112,5.05,3.62,1,0.698,0.009,0,TRAIN,SYNTHETIC
CASE-00028,ATM-004,6.3,7.86,1,0.935,0.885,0,TRAIN,SYNTHETIC
CASE-00028,ATM-088,7.76,5.99,1,0.914,0.586,0,TRAIN,SYNTHETIC
CASE-00028,ATM-077,897.26,1281.18,0,0.943,0.293,1,TRAIN,SYNTHETIC
CASE-00029,ATM-119,1.38,1.42,1,0.943,0.82,0,TRAIN,SYNTHETIC
CASE-00029,ATM-077,2.57,1.99,1,0.472,0.783,0,TRAIN,SYNTHETIC
CASE-00029,ATM-041,4.57,4.5,1,0.778,0.512,0,TRAIN,SYNTHETIC
CASE-00029,ATM-053,6.91,7.89,1,0.947,0.608,0,TRAIN,SYNTHETIC
CASE-00029,ATM-017,7.17,9.24,1,0.781,0.555,0,TRAIN,SYNTHETIC
CASE-00029,ATM-101,8.31,10.27,1,0.469,0.554,0,TRAIN,SYNTHETIC
CASE-00029,ATM-059,8.94,11.99,1,0.583,0.476,0,TRAIN,SYNTHETIC
CASE-00029,ATM-005,8.96,6.31,1,0.829,0.468,1,TRAIN,SYNTHETIC
CASE-00030,ATM-120,1.22,1.26,1,0.657,0.444,0,TRAIN,SYNTHETIC
CASE-00030,ATM-078,2.38,3.29,1,0.723,0.754,0,TRAIN,SYNTHETIC
CASE-00030,ATM-018,4.57,3.08,1,0.633,0.289,0,TRAIN,SYNTHETIC
CASE-00030,ATM-072,5.09,2.96,1,0.499,0.566,0,TRAIN,SYNTHETIC
CASE-00030,ATM-048,6.51,3.8,1,0.562,0.161,0,TRAIN,SYNTHETIC
CASE-00030,ATM-042,6.91,7.93,1,0.962,0.89,0,TRAIN,SYNTHETIC
CASE-00030,ATM-024,6.94,9.26,1,0.702,0.709,0,TRAIN,SYNTHETIC
CASE-00030,ATM-080,518.62,430.69,0,0.978,0.605,1,TRAIN,SYNTHETIC
CASE-00031,ATM-001,2.76,2,1,0.508,0.26,0,TRAIN,SYNTHETIC
CASE-00031,ATM-073,3.01,2.37,1,0.752,0.359,0,TRAIN,SYNTHETIC
CASE-00031,ATM-103,4.3,6.07,1,0.821,0.893,0,TRAIN,SYNTHETIC
CASE-00031,ATM-043,5.15,5.99,1,0.713,0.51,0,TRAIN,SYNTHETIC
CASE-00031,ATM-115,5.3,7.4,1,0.532,0.455,0,TRAIN,SYNTHETIC
CASE-00031,ATM-085,7.22,7.54,1,0.953,0.722,0,TRAIN,SYNTHETIC
CASE-00031,ATM-025,7.23,6.52,1,0.713,0.521,0,TRAIN,SYNTHETIC
CASE-00031,ATM-067,7.39,5.06,1,0.882,0.383,0,TRAIN,SYNTHETIC
CASE-00032,ATM-020,2.69,1.51,1,0.798,0.484,0,TRAIN,SYNTHETIC
CASE-00032,ATM-086,2.9,2.51,1,0.63,0.84,0,TRAIN,SYNTHETIC
CASE-00032,ATM-032,3.44,2.74,1,0.604,0.676,0,TRAIN,SYNTHETIC
CASE-00032,ATM-074,4.87,5.35,1,0.9,0.885,0,TRAIN,SYNTHETIC
CASE-00032,ATM-116,5.43,3.15,1,0.603,0.096,0,TRAIN,SYNTHETIC
CASE-00032,ATM-110,6.49,7.71,1,0.925,0.831,0,TRAIN,SYNTHETIC
CASE-00032,ATM-080,6.52,4.81,1,0.763,0.868,0,TRAIN,SYNTHETIC
CASE-00032,ATM-120,510.9,580.31,0,0.985,0.233,1,TRAIN,SYNTHETIC
CASE-00033,ATM-099,4.13,4.13,1,0.802,0.895,0,TRAIN,SYNTHETIC
CASE-00033,ATM-075,4.56,6.36,1,0.938,0.973,0,TRAIN,SYNTHETIC
CASE-00033,ATM-009,5.24,4.21,1,0.788,0.539,0,TRAIN,SYNTHETIC
CASE-00033,ATM-105,5.66,3.56,1,0.997,0.058,0,TRAIN,SYNTHETIC
CASE-00033,ATM-027,6.31,8.64,1,0.698,0.212,0,TRAIN,SYNTHETIC
CASE-00033,ATM-021,7.1,5.72,1,0.921,0.191,0,TRAIN,SYNTHETIC
CASE-00033,ATM-081,7.72,9.89,1,0.68,0.972,0,TRAIN,SYNTHETIC
CASE-00033,ATM-112,726.77,729.99,0,0.489,0.749,1,TRAIN,SYNTHETIC
CASE-00034,ATM-046,1.99,1.27,1,0.656,0.505,0,VALIDATION,SYNTHETIC
CASE-00034,ATM-040,2.48,2.74,1,0.974,0.906,0,VALIDATION,SYNTHETIC
CASE-00034,ATM-064,2.56,2.29,1,0.897,0.672,0,VALIDATION,SYNTHETIC
CASE-00034,ATM-094,2.91,2.87,1,0.992,0.493,0,VALIDATION,SYNTHETIC
CASE-00034,ATM-112,5.05,5.44,1,0.499,0.927,0,VALIDATION,SYNTHETIC
CASE-00034,ATM-004,6.3,4.33,1,0.708,0.958,0,VALIDATION,SYNTHETIC
CASE-00034,ATM-088,7.76,9.89,1,0.744,0.909,0,VALIDATION,SYNTHETIC
CASE-00034,ATM-058,8.21,10.05,1,0.567,0.191,0,VALIDATION,SYNTHETIC
CASE-00035,ATM-119,1.38,1.4,1,0.82,0.976,0,VALIDATION,SYNTHETIC
CASE-00035,ATM-077,2.57,3.46,1,0.941,0.083,0,VALIDATION,SYNTHETIC
CASE-00035,ATM-041,4.57,2.92,1,0.745,0.588,0,VALIDATION,SYNTHETIC
CASE-00035,ATM-053,6.91,6.68,1,0.563,0.581,0,VALIDATION,SYNTHETIC
CASE-00035,ATM-017,7.17,6.65,1,0.542,0.888,0,VALIDATION,SYNTHETIC
CASE-00035,ATM-101,8.31,6.09,1,0.745,0.01,0,VALIDATION,SYNTHETIC
CASE-00035,ATM-059,8.94,11.88,1,0.551,0.654,0,VALIDATION,SYNTHETIC
CASE-00035,ATM-074,739.3,543.02,0,0.992,0.229,1,VALIDATION,SYNTHETIC
CASE-00036,ATM-120,1.22,1.48,1,0.588,0.699,0,VALIDATION,SYNTHETIC
CASE-00036,ATM-078,2.38,3.08,1,0.699,0.906,0,VALIDATION,SYNTHETIC
CASE-00036,ATM-018,4.57,4.73,1,0.883,0.392,0,VALIDATION,SYNTHETIC
CASE-00036,ATM-072,5.09,3.63,1,0.817,0.446,0,VALIDATION,SYNTHETIC
CASE-00036,ATM-048,6.51,3.91,1,0.872,0.628,0,VALIDATION,SYNTHETIC
CASE-00036,ATM-042,6.91,5.07,1,0.646,0.689,0,VALIDATION,SYNTHETIC
CASE-00036,ATM-024,6.94,7.36,1,0.686,0.122,0,VALIDATION,SYNTHETIC
CASE-00036,ATM-069,236.53,332.78,0,0.914,0.168,1,VALIDATION,SYNTHETIC
